NU_ANO_CENSO,SG_UF_IES,NO_MUNICIPIO_IES,TP_ORGANIZACAO_ACADEMICA,TP_REDE,CO_IES,NO_IES,SG_UF,NO_MUNICIPIO,NO_CURSO,CO_CURSO,NO_CINE_ROTULO,NO_CINE_AREA_ESPECIFICA,TP_GRAU_ACADEMICO,IN_GRATUITO,TP_MODALIDADE_ENSINO,QT_VG_TOTAL,QT_INSCRITO_TOTAL,CI,Ano CI,CI-EaD,Ano CI-EaD,IGC,Ano IGC,Código IES,CC,Ano CC,CPC,Ano CPC,ENADE,Ano ENADE,IDD,Ano IDD,Vagas Autorizadas,Situação
2023,SP,São Paulo,1,2,22,UNIVERSIDADE PRESBITERIANA MACKENZIE,SP,São Bernardo do Campo,Letras,1382646,Letras português formação de professor,Educação,2.0,0,2,0,0,5,2023.0,5,2015.0,4,2022.0,22.0,-,,-,,-,,-,,1020.0,Em Atividade
2023,SP,Batatais,2,2,135,Claretiano - Centro Universitário,BA,Salvador,Computação,84705,Computação formação de professor,Educação,2.0,0,2,0,0,5,2018.0,5,2023.0,3,2022.0,135.0,-,,4,2017.0,5,2017.0,SC,2017.0,341.0,Em Atividade
2023,RS,São Leopoldo,1,2,14,UNIVERSIDADE DO VALE DO RIO DOS SINOS,RS,Gravataí,Gestão De Recursos Humanos,1116735,Gestão de pessoas,Negócios e administração,3.0,0,2,0,0,5,2023.0,5,2019.0,4,2022.0,14.0,4,2013.0,3,2018.0,3,2018.0,3,2018.0,1060.0,Em Atividade
2023,SP,Batatais,2,2,135,Claretiano - Centro Universitário,MT,Cuiabá,Música,1260543,Música formação de professor,Educação,2.0,0,2,0,0,5,2018.0,5,2023.0,3,2022.0,135.0,5,2017.0,3,2017.0,2,2017.0,3,2017.0,1000.0,Em Atividade
2023,SP,Batatais,2,2,135,Claretiano - Centro Universitário,RS,Passo Fundo,Administração,89302,Administração,Negócios e administração,1.0,0,2,0,0,5,2018.0,5,2023.0,3,2022.0,135.0,-,,3,2018.0,3,2018.0,3,2018.0,400.0,Em Atividade
2023,MG,Uberaba,1,2,143,UNIVERSIDADE DE UBERABA,SP,Monte Aprazível,Letras - Português E Inglês,88814,Letras português inglês formação de professor,Educação,2.0,0,2,0,0,3,2017.0,4,2014.0,3,2022.0,143.0,4,2016.0,3,2017.0,2,2017.0,3,2017.0,450.0,Em Atividade
2023,MG,Uberaba,1,2,143,UNIVERSIDADE DE UBERABA,MG,Capim Branco,Gestão De Recursos Humanos,123797,Gestão de pessoas,Negócios e administração,3.0,0,2,0,0,3,2017.0,4,2014.0,3,2022.0,143.0,4,2013.0,3,2018.0,2,2018.0,3,2018.0,510.0,Em Atividade
2023,SP,Batatais,2,2,135,Claretiano - Centro Universitário,PB,Campina Grande,Filosofia,84701,Filosofia formação de professor,Educação,2.0,0,2,0,0,5,2018.0,5,2023.0,3,2022.0,135.0,-,,4,2017.0,3,2017.0,3,2017.0,508.0,Em Atividade
2023,MG,Uberaba,1,2,143,UNIVERSIDADE DE UBERABA,MG,Frutal,História,88778,História formação de professor,Educação,2.0,0,2,0,0,3,2017.0,4,2014.0,3,2022.0,143.0,-,,3,2017.0,2,2017.0,3,2017.0,450.0,Em Atividade
2023,SP,Batatais,2,2,135,Claretiano - Centro Universitário,RO,São Miguel do Guaporé,Gestão Ambiental,108872,Gestão ambiental,Engenharia e profissões correlatas,3.0,0,2,0,0,5,2018.0,5,2023.0,3,2022.0,135.0,4,2014.0,3,2019.0,2,2019.0,1,2019.0,300.0,Em Atividade
2023,MG,Uberaba,1,2,143,UNIVERSIDADE DE UBERABA,ES,Vila Velha,Engenharia Química,1627771,Engenharia química,Engenharia e profissões correlatas,1.0,0,2,0,0,3,2017.0,4,2014.0,3,2022.0,143.0,-,,-,,-,,-,,500.0,Em Atividade
2023,MG,Uberaba,1,2,143,UNIVERSIDADE DE UBERABA,MG,Araxá,Ciências Econômicas,1595396,Economia,Ciências sociais e comportamentais,1.0,0,2,0,0,3,2017.0,4,2014.0,3,2022.0,143.0,5,2024.0,-,,-,,-,,500.0,Em Atividade
2023,RJ,Rio de Janeiro,1,2,163,UNIVERSIDADE ESTÁCIO DE SÁ,GO,Aruanã,Engenharia De Software,1498018,Engenharia de software,Computação e Tecnologias da Informação e Comunicação (TIC),1.0,0,2,0,0,5,2024.0,5,2019.0,3,2022.0,163.0,-,,-,,-,,-,,1739.0,Em Atividade
2023,SP,São Paulo,1,2,22,UNIVERSIDADE PRESBITERIANA MACKENZIE,SP,São Paulo,Psicologia,26101,Psicologia,Ciências sociais e comportamentais,1.0,0,1,423,1645,5,2023.0,5,2015.0,4,2022.0,22.0,-,,4,2018.0,3,2018.0,3,2018.0,420.0,Em Atividade
